Date,High,Low,Open,Close,Volume,Return
2018-08-08,26.55,25.65,26.46,26.1,30359.83,
2018-08-09,26.2,24.88,26.2,25.8,62699.89,-1.1494252873563204
2018-08-10,25.81,25.14,25.52,25.75,53900.47,-0.19379844961240345
2018-08-13,25.6,24.25,25.5,25.22,49040.32,-2.0582524271844704
2018-08-14,25.85,25.32,25.5,25.65,30794.52,1.704996034892936
2018-08-15,25.85,24.51,25.85,24.88,26600.91,-3.0019493177387946
2018-08-16,24.8,23.85,24.52,23.86,28948.75,-4.099678456591638
2018-08-17,24.41,23.72,24.08,23.88,22730.19,0.08382229673091768
2018-08-20,24.17,22.95,23.87,23.72,30413.29,-0.670016750418756
2018-08-21,24.99,23.72,23.87,24.62,29841.91,3.794266441821259
2018-08-22,24.7,24.03,24.58,24.25,15968.38,-1.502843216896832
2018-08-23,25.02,24.01,24.05,24.78,20816.52,2.185567010309275
2018-08-24,25.76,24.42,24.55,25.55,24518.27,3.1073446327683607
2018-08-27,26.24,25.37,25.56,26.21,25188.39,2.583170254403133
2018-08-28,26.58,25.6,26.13,26.2,21040.67,-0.03815337657383511
2018-08-29,26.31,25.63,26.1,26.06,10934.58,-0.5343511450381699
2018-08-30,26.25,25.55,25.82,25.88,7840.61,-0.6907137375287808
2018-08-31,26.08,25.0,25.81,25.4,9583.72,-1.8547140649149974
2018-09-03,26.49,25.41,25.72,26.39,21449.52,3.897637795275588
2018-09-04,26.85,25.83,26.39,26.26,20458.67,-0.49261083743842304
2018-09-05,26.83,25.65,26.15,25.97,17312.73,-1.1043412033511113
2018-09-06,26.05,24.41,25.74,24.45,20096.07,-5.852907200616098
2018-09-07,26.3,24.8,24.8,26.14,32277.22,6.912065439672799
2018-09-10,26.69,25.0,26.69,25.18,20044.85,-3.672532517214999
2018-09-11,26.6,25.08,25.18,26.45,23744.84,5.043685464654479
2018-09-12,26.88,25.17,26.88,25.72,25092.57,-2.7599243856332722
2018-09-13,26.02,25.35,25.76,25.68,19732.13,-0.15552099533436836
2018-09-14,26.8,25.28,25.63,26.39,19838.7,2.764797507788175
2018-09-17,28.24,25.91,26.39,27.31,26521.77,3.4861690034103665
2018-09-18,29.17,27.0,27.0,28.53,24930.65,4.4672281215671905
2018-09-19,28.8,28.02,28.53,28.34,17884.11,-0.6659656501927791
2018-09-20,28.65,27.88,28.34,28.26,16896.04,-0.2822865208186198
2018-09-21,29.1,28.26,28.99,28.55,18215.22,1.0261854210898758
2018-09-25,28.84,28.0,28.0,28.11,8496.74,-1.541155866900179
2018-09-26,30.17,28.26,28.34,29.61,31389.05,5.336179295624333
2018-09-27,29.79,29.1,29.62,29.22,16020.04,-1.317122593718345
2018-09-28,29.49,29.0,29.11,29.21,10043.84,-0.034223134839139746
2018-10-08,29.13,28.01,28.59,28.26,11481.43,-3.252310852447793
2018-10-09,28.5,27.89,28.45,28.06,8765.49,-0.7077140835102691
2018-10-10,28.5,27.68,28.26,27.79,14626.74,-0.962223806129725
2018-10-11,28.15,26.33,27.39,26.58,20033.41,-4.354084202950704
2018-10-12,27.21,26.2,26.3,27.07,13684.51,1.8434913468773573
2018-10-15,28.73,26.81,27.0,28.0,18866.53,3.435537495382346
2018-10-16,28.3,27.01,28.0,27.21,16787.76,-2.8214285714285636
2018-10-17,27.75,25.6,27.41,26.71,18924.94,-1.8375597206909178
2018-10-18,26.58,25.75,26.31,25.86,9971.65,-3.1823287158367686
2018-10-19,26.73,25.53,25.75,26.67,11328.76,3.132250580046403
2018-10-22,28.45,26.76,26.76,28.36,19857.47,6.336707911511041
2018-10-23,28.7,27.82,28.25,27.99,12153.08,-1.3046544428772955
2018-10-24,28.02,27.36,27.98,27.4,11897.02,-2.107895677027505
2018-10-25,27.15,26.32,26.46,26.89,9412.89,-1.8613138686131347
2018-10-26,27.45,25.68,26.79,26.08,16361.47,-3.012272220156198
2018-10-29,26.07,23.48,26.07,24.98,25868.48,-4.217791411042937
2018-10-30,26.61,24.69,25.3,26.24,22866.59,5.044035228182531
2018-10-31,27.96,25.98,25.98,27.71,24150.0,5.602134146341475
2018-11-01,28.38,27.27,27.87,27.72,19721.46,0.036088054853844476
2018-11-02,28.29,27.8,27.94,27.93,13741.75,0.7575757575757569
2018-11-05,28.83,27.53,28.0,28.17,22303.71,0.8592910848550073
2018-11-06,28.47,26.89,27.89,27.3,25481.86,-3.088391906283283
2018-11-07,28.4,27.4,27.55,27.78,22409.08,1.758241758241752
2018-11-08,28.37,27.1,27.87,27.37,15715.31,-1.4758819294456438
2018-11-09,28.37,27.38,27.64,27.59,22976.63,0.8037997807818664
2018-11-12,27.78,26.85,27.6,27.6,19253.91,0.03624501631025456
2018-11-13,27.59,26.87,27.3,27.51,20700.3,-0.3260869565217428
2018-11-14,27.51,26.79,27.51,26.89,22631.43,-2.2537259178480595
2018-11-15,27.11,26.79,26.89,26.93,14255.83,0.14875418371140814
2018-11-16,27.05,26.28,26.93,26.52,23709.93,-1.522465651689564
2018-11-19,26.95,26.5,26.55,26.66,25490.54,0.5279034690799378
2018-11-20,26.6,26.0,26.0,26.18,18327.66,-1.8004501125281291
2018-11-21,26.19,25.7,26.04,25.78,12915.04,-1.5278838808250539
2018-11-22,25.99,25.63,25.98,25.67,7487.19,-0.426687354538402
2018-11-23,25.88,25.08,25.68,25.16,10230.0,-1.9867549668874274
2018-11-26,25.39,25.06,25.12,25.32,5214.36,0.6359300476947549
2018-11-27,25.49,24.79,25.49,25.1,9616.55,-0.8688783570300118
2018-11-28,25.68,24.75,25.23,25.67,8232.01,2.270916334661366
2018-11-29,26.12,25.26,25.66,25.27,12651.76,-1.5582391897156267
2018-11-30,26.04,25.16,25.16,25.99,17087.84,2.8492283339928814
2018-12-03,27.05,26.33,26.33,26.61,19648.03,2.3855328972681944
2018-12-04,27.05,26.6,26.69,27.02,18612.45,1.5407741450582435
2018-12-05,27.62,26.62,26.88,27.01,12585.25,-0.037009622501837924
2018-12-06,27.27,26.75,27.01,27.02,11097.54,0.03702332469455172
2018-12-07,27.29,26.82,27.14,27.04,10872.65,0.07401924500369805
2018-12-10,27.26,26.5,27.04,27.07,11223.85,0.11094674556213491
2018-12-11,28.26,26.88,27.2,28.2,20052.55,4.174362763206507
2018-12-12,30.0,28.01,28.28,29.2,26157.68,3.546099290780136
2018-12-13,30.55,29.1,29.1,29.41,29333.01,0.7191780821917737
2018-12-14,30.5,29.4,29.51,29.69,32967.41,0.9520571234274078
2018-12-17,29.61,28.54,29.61,29.27,15769.28,-1.4146177164028328
2018-12-18,30.01,28.9,29.24,29.21,17633.27,-0.20498804236419588
2018-12-19,30.9,29.56,29.56,30.22,37659.75,3.4577199589181706
2018-12-20,30.3,28.02,30.06,29.78,28855.81,-1.4559894109860916
2018-12-21,30.2,28.81,29.79,29.66,25201.94,-0.4029550033579632
2018-12-24,30.96,29.82,30.0,30.72,28007.08,3.5738368172623103
2018-12-25,31.48,30.1,30.42,31.04,27745.0,1.041666666666674
2018-12-26,31.36,29.7,31.26,30.15,17463.85,-2.8672680412371143
2018-12-27,31.68,30.58,30.59,31.39,41959.82,4.112769485903822
2018-12-28,31.5,29.96,31.39,30.73,39950.33,-2.1025804396304526
2019-01-02,31.3,29.33,30.68,29.68,28301.98,-3.4168564920273425
2019-01-03,30.29,29.06,29.51,29.09,23749.35,-1.987870619946086
2019-01-04,31.0,29.13,29.13,29.84,28537.36,2.57820556892403
2019-01-07,30.5,29.25,29.85,29.81,29551.36,-0.10053619302949901
2019-01-08,30.38,29.35,29.7,29.99,33808.09,0.6038242200603783
2019-01-09,30.59,29.55,30.0,29.87,24906.15,-0.4001333777925886
2019-01-10,29.87,28.58,29.87,29.46,21333.14,-1.3726146635420156
2019-01-11,29.64,28.61,29.48,29.09,23649.65,-1.2559402579769174
2019-01-14,29.1,27.91,27.91,29.0,16050.38,-0.3093846682708845
2019-01-15,30.58,28.57,28.98,30.24,29885.49,4.275862068965508
2019-01-16,30.69,29.76,30.15,30.49,16567.44,0.8267195767195812
2019-01-17,31.39,30.1,30.28,30.5,15053.35,0.03279763857002571
2019-01-18,31.49,30.35,30.49,31.1,13615.42,1.967213114754096
2019-01-21,34.2,31.1,31.1,32.2,35633.6,3.536977491961424
2019-01-22,32.1,31.05,32.09,31.11,17297.1,-3.385093167701869
2019-01-23,31.38,30.68,31.12,31.0,11238.26,-0.3535840565734527
2019-01-24,31.34,30.8,31.14,30.99,14381.66,-0.032258064516133
2019-01-25,31.31,30.48,30.99,30.6,13520.75,-1.2584704743465513
2019-01-28,31.9,30.45,30.6,31.38,20508.7,2.549019607843128
2019-01-29,32.25,30.69,31.24,32.06,17987.21,2.16698534098152
2019-01-30,32.7,31.66,32.02,32.02,13560.9,-0.12476606363068798
2019-01-31,32.44,30.2,32.02,30.5,23082.96,-4.747033104309817
2019-02-01,32.07,30.44,30.45,31.61,29410.5,3.6393442622950856
2019-02-11,33.35,31.6,31.74,32.88,21840.57,4.017715912685871
2019-02-12,33.34,32.28,32.88,33.12,22453.7,0.7299270072992581
2019-02-13,33.5,32.6,33.12,33.0,22693.33,-0.36231884057970065
2019-02-14,34.65,32.78,33.0,34.25,35877.05,3.7878787878787845
2019-02-15,34.12,33.4,34.12,33.52,18040.51,-2.1313868613138554
2019-02-18,34.15,33.47,33.6,34.03,21457.28,1.5214797136038127
2019-02-19,34.02,32.82,33.91,33.32,22601.65,-2.0863943579194855
2019-02-20,33.6,32.83,33.11,33.37,14577.72,0.15006002400959062
2019-02-21,33.5,32.86,33.37,32.91,16371.92,-1.3784836679652357
2019-02-22,34.1,32.5,32.65,34.1,22629.14,3.615922212093614
2019-02-25,34.6,33.28,34.0,34.4,57006.78,0.8797653958944274
2019-02-26,34.35,33.2,34.33,33.52,37932.72,-2.5581395348837077
2019-02-27,34.87,32.88,33.0,33.81,32088.54,0.8651551312649053
2019-02-28,34.0,33.11,33.46,33.3,27140.09,-1.5084294587400349
2019-03-01,34.05,33.0,33.33,33.47,21458.12,0.5105105105105201
2019-03-04,35.1,33.39,33.4,35.1,42278.86,4.870032865252472
2019-03-05,35.15,34.22,34.7,34.73,29337.82,-1.054131054131069
2019-03-06,34.7,34.15,34.7,34.39,25736.12,-0.9789807083213309
2019-03-07,34.35,33.0,34.07,33.21,41400.75,-3.4312300087234626
2019-03-08,33.15,31.67,32.86,31.75,46887.93,-4.3962661848840785
2019-03-11,32.34,31.59,31.69,32.31,25536.6,1.7637795275590618
2019-03-12,32.6,31.89,32.36,32.15,31459.07,-0.49520272361499584
2019-03-13,32.91,32.12,32.24,32.2,25826.36,0.15552099533437946
2019-03-14,32.87,31.84,32.1,32.4,22041.44,0.6211180124223503
2019-03-15,33.56,32.35,32.45,33.48,31558.43,3.3333333333333215
2019-03-18,35.49,33.64,33.64,34.6,55753.11,3.3452807646356275
2019-03-19,34.8,33.71,34.6,33.79,29589.14,-2.341040462427757
2019-03-20,34.85,33.66,33.66,34.67,33334.38,2.6043208049718825
2019-03-21,35.01,34.15,34.5,34.49,30489.71,-0.5191808479953819
2019-03-22,34.9,34.0,34.21,34.5,17414.78,0.02899391127861861
2019-03-25,34.4,33.75,34.08,33.8,18653.47,-2.0289855072463836
2019-03-26,34.87,33.57,34.0,34.17,25575.39,1.0946745562130378
2019-03-27,35.34,33.9,34.16,35.24,41941.45,3.1314018144571243
2019-03-28,35.18,34.5,35.09,34.94,29783.31,-0.8513053348467747
2019-03-29,36.18,34.24,34.88,35.3,63821.1,1.030337721808805
2019-04-01,37.99,35.13,35.3,36.7,64467.92,3.966005665722405
